Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Score
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Arthurs W.,Gambill J.M.,Gambill J.M.,105,58,6-3 6-7 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Balcells J.,Henman T.,Henman T.,218,11,4-6 6-7
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,Enqvist T.,56,5,3-6 3-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,Dosedel S.,63,77,6-4 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Draper S.,Norman M.,Norman M.,155,15,4-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,Escude N.,40,655,6-7 7-5 6-3
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,Fromberg R.,81,198,7-6 5-7 6-4
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,Vinck C.,88,227,6-3 3-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,Grosjean S.,26,51,6-2 6-1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,Hewitt L.,24,129,6-3 2-6 6-1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,Federer R.,87,65,1-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,Martin A.,55,21,6-2 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,Petrovic D.,208,122,3-6 6-3 6-3
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Pozzi G.,Sekulov J.,Sekulov J.,79,142,4-6 6-2 2-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,Stoltenberg J.,84,20,6-3 6-1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Tebbutt M.,Lisnard J.,Lisnard J.,351,134,6-7 7-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Escude N.,Escude N.,63,40,6-7 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,Enqvist T.,5,65,7-6 6-4
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Grosjean S.,Gambill J.M.,Grosjean S.,26,58,3-6 7-6 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Petrovic D.,Hewitt L.,24,208,6-0 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Lisnard J.,Henman T.,Henman T.,134,11,6-3 4-6 2-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Norman M.,Fromberg R.,Norman M.,15,81,7-5 6-4
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sekulov J.,Martin A.,Martin A.,142,55,6-7 6-7
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vinck C.,Stoltenberg J.,Stoltenberg J.,227,84,6-3 4-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Enqvist T.,Grosjean S.,Enqvist T.,5,26,7-6 7-5
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Escude N.,Escude N.,11,40,3-6 1-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Stoltenberg J.,Hewitt L.,24,84,6-2 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Martin A.,Norman M.,Norman M.,55,15,4-6 3-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Enqvist T.,Norman M.,Enqvist T.,5,15,3-6 6-2 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Escude N.,Hewitt L.,Hewitt L.,40,24,6-3 1-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,The Final,3,Hewitt L.,Enqvist T.,Hewitt L.,24,5,3-6 6-3 6-2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Behrend T.,Popp A.,Behrend T.,116,124,6-4 4-6 6-1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Delgado J.,Black B.,Delgado J.,162,67,6-2 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Hantschk M.,Tieleman L.,Hantschk M.,128,89,7-6 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ishii Y.,Vanek J.,Vanek J.,238,160,3-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ketola T.,Ogorodov O.,Ketola T.,163,135,7-5 4-6 6-4
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kilderry P.,Stanoytchev O.,Stanoytchev O.,342,111,4-6 6-7
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kroslak J.,Jonsson F.,Jonsson F.,103,127,3-6 3-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kumar S.,Agenor R.,Agenor R.,1198,94,4-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Paes L.,Boutter J.,Paes L.,145,137,6-4 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ram A.,Pioline C.,Pioline C.,414,14,3-6 1-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Rochus C.,Damm M.,Damm M.,120,104,3-6 0-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Voinea A.,Sanguinetti D.,121,100,7-6 6-4
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Spottl M.,Golmard J.,Golmard J.,200,38,3-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tabara M.,Kafelnikov Y.,Tabara M.,125,2,6-4 6-2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Lopez-Moron A.,Vinciguerra A.,99,113,6-4 6-2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Zib T.,Manta L.,Manta L.,115,117,5-7 2-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Agenor R.,Damm M.,Damm M.,94,104,6-4 2-6 1-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Delgado J.,Stanoytchev O.,Delgado J.,162,111,4-6 6-2 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hantschk M.,Behrend T.,Hantschk M.,128,116,6-3 4-6 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Jonsson F.,Golmard J.,Golmard J.,127,38,2-6 3-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Manta L.,Tabara M.,Manta L.,117,125,6-4 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Paes L.,Pioline C.,Pioline C.,145,14,3-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Vinciguerra A.,Sanguinetti D.,121,99,2-6 7-5 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vanek J.,Ketola T.,Ketola T.,160,163,6-4 4-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Delgado J.,Golmard J.,38,162,6-3 6-4
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Ketola T.,Hantschk M.,Hantschk M.,163,128,7-5 5-7 2-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Manta L.,Damm M.,Damm M.,117,104,4-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Pioline C.,Sanguinetti D.,Pioline C.,14,121,3-6 6-4 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Damm M.,Golmard J.,Golmard J.,104,38,6-3 3-6 3-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Hantschk M.,Pioline C.,Hantschk M.,128,14,6-4 2-6 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,The Final,3,Hantschk M.,Golmard J.,Golmard J.,128,38,3-6 7-6 3-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Al-Alawi S.K.,Berasategui A.,Berasategui A.,-1,60,3-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Arazi H.,Cherkasov A.,Cherkasov A.,35,206,2-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Bastl G.,Novak J.,Bastl G.,85,36,6-4 7-5
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Caratti C.,Heuberger I.,Caratti C.,211,219,7-6 4-6 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Diaz J.,Schalken S.,Schalken S.,86,44,5-7 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Dupuis A.,El Aynaoui Y.,33,78,4-6 6-3 6-2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kiefer N.,Tarango J.,Kiefer N.,6,59,7-6 7-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Luxa P.,Gaudio G.,Gaudio G.,174,73,6-4 0-6 2-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Puerta M.,Mirnyi M.,Mirnyi M.,101,74,5-7 2-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Santoro F.,Burgsmuller L.,Santoro F.,32,138,6-4 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Schuettler R.,Sanchez J.,Schuettler R.,47,285,6-2 7-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Siemerink J.,Squillari F.,Squillari F.,93,49,2-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tillstrom M.,Ivanisevic G.,Tillstrom M.,83,62,7-6 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vicente F.,Vacek D.,Vacek D.,50,39,6-0 3-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Bastl G.,Berasategui A.,Bastl G.,85,60,6-3 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Cherkasov A.,Tillstrom M.,Tillstrom M.,206,83,6-7 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Gaudio G.,El Aynaoui Y.,El Aynaoui Y.,73,33,4-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Caratti C.,Kiefer N.,6,211,6-1 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Marin J.A.,Mirnyi M.,Mirnyi M.,71,74,0-6 1-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Santoro F.,van Lottum J.,Santoro F.,32,69,7-6 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Vacek D.,Schuettler R.,47,39,6-3 6-2
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Squillari F.,Schalken S.,Schalken S.,49,44,6-4 1-6 1-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Tillstrom M.,El Aynaoui Y.,33,83,7-5 6-3
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Mirnyi M.,Schuettler R.,Schuettler R.,74,47,3-6 2-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Santoro F.,Bastl G.,Santoro F.,32,85,6-2 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Kiefer N.,Kiefer N.,44,6,1-6 0-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,El Aynaoui Y.,Schuettler R.,Schuettler R.,33,47,7-6 4-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Santoro F.,Kiefer N.,Santoro F.,32,6,7-5 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Balcells J.,Squillari F.,Balcells J.,211,49,7-5 7-5
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Berasategui A.,Martin A.,Martin A.,59,48,3-6 1-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Novak J.,Novak J.,76,38,5-7 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Chang M.,Black B.,Chang M.,50,70,7-5 4-6 7-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Federer R.,Ferrero J.C.,Ferrero J.C.,61,45,4-6 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Fromberg R.,Gambill J.M.,57,80,4-6 6-3 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gustafsson M.,Nielsen M.,Gustafsson M.,60,246,6-4 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Hantschk M.,Behrend T.,Behrend T.,95,115,2-6 2-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Ivanisevic G.,Schalken S.,Schalken S.,68,37,1-6 6-4 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Johansson T.,Weiner G.,Johansson T.,43,334,7-6 6-1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Norman M.,Costa F.,Norman M.,14,149,7-5 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Rosset M.,Vicente F.,Rosset M.,46,53,6-4 6-3
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sargsian S.,Gaudio G.,Gaudio G.,52,72,5-7 6-4 5-7
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sell M.,Escude N.,Sell M.,167,34,0-6 7-6 6-1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Tarango J.,Haas T.,Haas T.,63,11,5-7 6-4 5-7
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Woodruff C.,van Lottum J.,van Lottum J.,56,66,1-6 3-6
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Balcells J.,Haas T.,Balcells J.,211,11,6-4 7-5
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Behrend T.,Schalken S.,Schalken S.,115,37,4-6 1-6
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Martin A.,Ferrero J.C.,45,48,6-7 6-2 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Norman M.,Norman M.,57,14,3-6 3-6
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gustafsson M.,Johansson T.,Gustafsson M.,60,43,6-2 6-3
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Novak J.,Gaudio G.,Gaudio G.,38,72,4-6 7-6 6-7
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Rosset M.,van Lottum J.,Rosset M.,46,66,6-3 6-2
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Sell M.,Chang M.,Chang M.,167,50,6-4 4-6 6-7
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Ferrero J.C.,Balcells J.,211,45,4-6 6-3 6-1
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Norman M.,Rosset M.,Norman M.,14,46,6-2 6-2
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Gaudio G.,Gaudio G.,37,72,1-6 2-6
Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Balcells J.,Chang M.,Chang M.,211,50,3-6 6-3 2-6
Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Norman M.,Gaudio G.,Norman M.,14,72,6-4 7-5
Heineken Open,2000-01-10,International,Outdoor,Hard,The Final,3,Chang M.,Norman M.,Norman M.,50,14,6-3 3-6 5-7
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Arazi H.,Mantilla F.,Arazi H.,42,25,6-3 6-4
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Clement A.,Zabaleta M.,Clement A.,55,32,4-6 6-3 6-4
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Costa A.,Ilie A.,Ilie A.,18,47,6-3 6-7 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Damm M.,Kucera K.,Kucera K.,88,17,6-7 1-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Diaz J.,Stoltenberg J.,Stoltenberg J.,84,94,1-6 7-6 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Dosedel S.,Woodforde M.,Dosedel S.,69,128,6-3 6-3
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Grosjean S.,Hewitt L.,Hewitt L.,27,21,4-6 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Ullyett K.,Hrbaty D.,23,193,6-1 7-5
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Koubek S.,Meligeni F.,Koubek S.,40,29,7-6 6-1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Kuerten G.,Clavet F.,Clavet F.,5,39,4-6 6-3 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Lapentti N.,El Aynaoui Y.,Lapentti N.,7,31,3-6 6-3 6-3
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Martin T.,Medvedev A.,Martin T.,8,33,6-1 6-7 6-3
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Pioline C.,Corretja A.,Corretja A.,15,28,4-6 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Safin M.,Ljubicic I.,Ljubicic I.,24,79,7-6 3-6 3-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Spadea V.,Voinea A.,Voinea A.,20,102,6-3 6-7 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Vacek D.,Lisnard J.,Vacek D.,41,127,6-4 7-6
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Clement A.,Kucera K.,Kucera K.,55,17,2-6 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Corretja A.,Arazi H.,Corretja A.,28,42,3-6 6-3 7-6
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Clavet F.,Hewitt L.,21,39,6-3 6-2
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ilie A.,Dosedel S.,Dosedel S.,47,69,3-6 5-7
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Lapentti N.,Koubek S.,Lapentti N.,7,40,4-6 6-0 6-4
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Martin T.,Ljubicic I.,Ljubicic I.,8,79,6-7 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Stoltenberg J.,Hrbaty D.,Stoltenberg J.,94,23,6-4 2-6 6-4
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Vacek D.,Voinea A.,Voinea A.,41,102,5-7 2-6
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Corretja A.,Dosedel S.,Corretja A.,28,69,3-6 7-5 6-3
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Lapentti N.,Stoltenberg J.,Stoltenberg J.,7,94,6-4 5-7 1-6
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Ljubicic I.,Kucera K.,Ljubicic I.,79,17,6-3 3-6 7-5
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Hewitt L.,Hewitt L.,102,21,3-6 4-6
Sydney International,2000-01-10,International,Outdoor,Hard,Semifinals,3,Hewitt L.,Corretja A.,Hewitt L.,21,28,6-4 6-4
Sydney International,2000-01-10,International,Outdoor,Hard,Semifinals,3,Ljubicic I.,Stoltenberg J.,Stoltenberg J.,79,94,2-6 2-6
Sydney International,2000-01-10,International,Outdoor,Hard,The Final,3,Hewitt L.,Stoltenberg J.,Hewitt L.,21,94,6-4 6-0
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,Manta L.,Alami K.,35,107,6-4 7-6 7-5
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alonso J.,Arazi H.,Arazi H.,111,41,3-6 6-7 2-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Behrend T.,Meligeni F.,Behrend T.,106,28,6-2 4-6 6-7 6-3 6-0
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Berasategui A.,Vicente F.,Vicente F.,59,55,0-6 2-6 2-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Black B.,Martin T.,Martin T.,71,9,7-5 7-6 4-6 2-6 6-8
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Black W.,Gambill J.M.,Black W.,151,57,7-6 6-1 6-4
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Blanco G.,Schalken S.,Schalken S.,77,47,6-7 4-6 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Dosedel S.,Dosedel S.,155,64,6-7 7-5 3-6 5-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Kiefer N.,Kiefer N.,74,4,6-4 3-6 4-6 4-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,Federer R.,Federer R.,38,62,4-6 4-6 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Sargsian S.,Corretja A.,30,51,7-6 6-4 6-4
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Delgado J.,Rosset M.,Rosset M.,143,45,6-7 3-6 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Diaz J.,Jonsson F.,Jonsson F.,84,123,6-4 6-4 2-6 5-7 3-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Draper S.,Ferrero J.C.,Ferrero J.C.,200,40,6-7 3-6 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Dupuis A.,Rodriguez M.,Dupuis A.,98,119,6-4 6-4 7-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Courier J.,Escude N.,34,36,6-7 6-3 7-5 6-1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Bastl G.,Ferreira W.,53,78,6-3 6-3 4-6 7-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Fromberg R.,Enqvist T.,Fromberg R.,80,6,6-4 7-6 4-6 3-6 10-8
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Golmard J.,Henman T.,Henman T.,31,13,7-6 3-6 6-7 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Saulnier C.,Haas T.,12,171,7-6 6-4 4-6 6-2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Goldstein P.,Hewitt L.,17,87,6-2 6-7 7-6 6-4
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Clavet F.,Clavet F.,22,39,6-3 1-6 4-6 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ilie A.,Tarango J.,Ilie A.,46,65,6-3 7-6 4-6 6-3
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Kulti N.,Johansson T.,42,121,6-1 6-2 6-4
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Knippschild J.,Kafelnikov Y.,2,85,6-7 6-4 6-1 6-2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Karbacher B.,Hill M.,Hill M.,139,238,4-6 2-6 2-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Cadart R.,Koubek S.,43,217,6-3 5-7 6-2 6-4
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kroslak J.,Lopez-Moron A.,Kroslak J.,104,117,6-1 3-6 6-3 7-5
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kuerten G.,Portas A.,Portas A.,5,91,6-4 6-4 4-6 6-7 4-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Lareau S.,Tillstrom M.,Tillstrom M.,103,79,6-4 4-6 2-6 1-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Sekulov J.,Sekulov J.,72,133,6-7 6-4 6-4 5-7 0-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Llodra M.,Gaudio G.,Llodra M.,263,61,6-3 6-3 6-2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mamiit C.,Norman M.,Norman M.,97,11,5-7 4-6 6-3 3-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mantilla F.,Zabaleta M.,Zabaleta M.,27,33,1-6 7-5 3-6 6-7
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev A.,Lapentti N.,Lapentti N.,32,7,3-6 7-5 7-6 4-6 6-8
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Agenor R.,Mirnyi M.,67,94,6-7 7-6 6-3 6-3
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Motomura G.,Grosjean S.,Grosjean S.,148,26,3-6 3-6 2-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Hipfl M.,Novak J.,37,75,6-3 4-6 6-3 5-7 6-2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,O'Brien A.,Pretzsch A.,Pretzsch A.,162,115,6-7 2-6 1-6
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Parmar A.,El Aynaoui Y.,El Aynaoui Y.,257,29,7-6 6-7 6-1 3-6 1-6
